sa1_code_2016;Total
20201102305;2,69363468897317e+01
20201102306;2,51736504182343e+00
20201102307;2,93966590100471e+00
20201102308;1,68045400697385e+01
20201102309;5,57385043767084e+01
20201102310;6,16723122973347e+01
20201102311;5,47696453245872e+01
20201102312;1,67846307368094e+02
20201102401;3,00186834200711e+00
20201102402;2,38698569445769e+00
20201102403;4,28407038965445e-01
20201102405;1,43691245497665e+02
20201102407;2,89816647059108e+02
20201102408;1,63921299571178e+02
20201102409;1,54509737004346e+02
20201102410;8,90824442435379e-01
20201102411;2,02515564675838e+00
20201102412;6,54625372442746e+00
20201102413;1,26343524554757e+01
20201102414;1,10804465244372e+01
20201102415;7,18184904388394e-02
20201102417;1,67292388240385e+00
20201102418;1,79236321484009e+02
20201102419;1,29925244842431e+01
20201102420;2,53484209023607e+01
20201102421;1,19594557558447e+02
20201102422;9,25476849471448e+00
20201102501;9,81722854209690e+01
20201102502;8,91992406847813e+01
20201102503;5,50523746707054e+01
20201102504;2,39247424676944e+02
20201102505;1,88534753829893e+02
20201102506;1,27253404393474e+02
20201102507;0,00000000000000e+00
20201102509;3,93820022011373e+01
20201102510;8,63853046477600e+01
20201102511;9,54662045131958e+01
20201102512;7,25167555390694e+00
20201102513;5,85569229512999e+01
20201102514;1,98633508062026e+02
20201102515;2,25366772957348e+00
20201102516;2,72820481645818e+01
20201102517;5,32280599405532e+01
20201102518;5,03259714742531e+01
20201102519;1,20374727263161e+02
20201102520;5,36529334038467e+01
20201102521;6,85512412374753e+01
20201102522;8,50962770307731e+01
20201102523;6,47970032280721e+01
20202102601;0,00000000000000e+00
20202102602;0,00000000000000e+00
20202102603;0,00000000000000e+00
20202102604;0,00000000000000e+00
20202102605;0,00000000000000e+00
20202102606;0,00000000000000e+00
20202102607;0,00000000000000e+00
20202102608;7,55434207409296e-01
20202102609;0,00000000000000e+00
20202102610;0,00000000000000e+00
20202102611;0,00000000000000e+00
20202102612;9,42785242134533e-02
20202102613;6,44043152320511e-02
20202102614;0,00000000000000e+00
20202102615;0,00000000000000e+00
20202102616;0,00000000000000e+00
20202102617;0,00000000000000e+00
20202102618;0,00000000000000e+00
20202102619;0,00000000000000e+00
20202102701;2,37681449073300e+01
20202102702;6,44465549762922e-01
20202102703;5,48712223608687e-01
20202102704;2,60311934285148e+01
20202102705;2,41251828603507e+01
20202102706;3,10711730186925e-01
20202102707;7,30946374180964e-01
20202102708;1,74233442655530e+00
20202102709;2,14260806487586e+00
20202102710;1,56929287778732e-02
20202102711;1,44454871337245e+01
20202102712;1,15153689087017e-01
20202102713;1,07701637189665e+01
20202102714;5,80286930816806e+01
20202102715;2,30762382001154e+01
20202102716;8,22897044119691e+01
20202102717;7,07222172145503e+01
20202102718;2,87685298730361e+00
20202102719;1,12083337189145e+01
20202102720;3,11075643163072e+01
20202102721;2,23516942620729e+00
20202102722;1,79290489455583e+01
20202102723;8,87033914023027e+00
20202102724;1,66897771651350e+01
20202102725;1,48165459206349e+01
20202102726;2,28121657929200e+00
20202102727;6,55297462605658e+00
20202102801;4,05977929998860e+00
20202102802;3,11319322996636e+00
20202102803;0,00000000000000e+00
20202102804;0,00000000000000e+00
20202102805;0,00000000000000e+00
20202102806;0,00000000000000e+00
20202102807;0,00000000000000e+00
20202102808;1,68629417430755e-01
20202102809;0,00000000000000e+00
20202102810;1,22737433165088e+00
20202102811;4,58502460206166e-02
20202102812;1,38885011382824e-04
20202102813;0,00000000000000e+00
20202102814;0,00000000000000e+00
20202102815;1,60659085143820e-01
20202102816;0,00000000000000e+00
20202102817;0,00000000000000e+00
20202102818;0,00000000000000e+00
20202102819;8,82024830027891e+00
20202102820;5,76162153877228e-02
20202102821;1,97004233566356e+00
20202102822;5,35197962923774e+00
20202102823;4,72247287668785e-01
20202102824;1,15798631928277e-01
20202102825;0,00000000000000e+00
20202102826;1,35526958425400e-01
20202102901;1,17553180077276e+01
20202102902;1,54001356652033e+00
20202102903;5,88972942315404e+00
20202102904;0,00000000000000e+00
20202102905;4,66901892586006e-02
20202102906;0,00000000000000e+00
20202102907;1,08353341627010e-02
20202102908;3,96546025703758e-02
